Date,Open,High,Low,Close,Adj Close,Volume
2001-02-13,35.000000,35.401043,33.348957,33.484375,32.395588,51600
2001-02-14,33.567707,33.567707,32.114582,32.901043,31.831226,24600
2001-02-15,33.333332,33.333332,32.932293,33.250000,32.168842,23400
2001-02-16,32.468750,32.817707,32.098957,32.250000,31.201351,24300
2001-02-20,32.416668,32.416668,31.416668,31.817707,30.783104,32700
2001-02-21,31.781250,32.750000,31.479168,31.484375,30.460619,58800
2001-02-22,31.552082,31.781250,30.333332,30.333332,29.347002,21000
2001-02-23,30.635418,31.614582,30.515625,31.614582,30.586582,17100
2001-02-26,32.067707,33.317707,32.067707,33.182293,32.103310,130500
2001-02-27,33.333332,33.333332,32.265625,32.333332,31.281971,61200
2001-02-28,32.468750,33.098957,31.682293,32.302082,31.251730,22200
2001-03-01,31.968750,31.968750,30.598957,31.734375,30.702490,32400
2001-03-02,31.197918,32.645832,31.166668,31.916668,30.878855,30000
2001-03-05,32.015625,32.182293,31.385418,31.614582,30.586582,45300
2001-03-06,31.984375,32.135418,31.416668,31.567707,30.541237,19500
2001-03-07,31.598957,31.598957,30.583332,30.682293,29.684614,36600
2001-03-08,30.432293,30.437500,29.505207,29.651043,28.686899,45300
2001-03-09,29.265625,29.968750,28.833332,28.833332,27.895781,36300
2001-03-12,28.416668,28.416668,26.333332,26.333332,25.477070,49500
2001-03-13,26.531250,27.468750,26.281250,27.302082,26.414318,32100
2001-03-14,26.166668,27.984375,26.166668,26.781250,25.910425,42900
2001-03-15,27.531250,27.531250,26.848957,26.848957,25.975924,21600
2001-03-16,26.802082,26.802082,25.317707,25.317707,24.494467,24000
2001-03-19,25.598957,26.416668,25.364582,26.416668,25.557697,27300
2001-03-20,26.666668,26.666668,25.067707,25.067707,24.252590,32400
2001-03-21,25.197918,25.197918,22.932293,23.083332,22.332741,72600
2001-03-22,22.500000,22.635418,20.333332,22.635418,21.899401,206700
2001-03-23,23.166668,23.802082,22.885418,23.802082,23.028120,26700
2001-03-26,24.432293,25.322918,24.432293,24.885418,24.076229,192000
2001-03-27,25.000000,25.651043,24.765625,25.651043,24.816967,48300
2001-03-28,24.848957,25.531250,24.848957,25.031250,24.217321,20700
2001-03-29,24.984375,25.984375,24.765625,25.005207,24.192129,28800
2001-03-30,25.598957,25.635418,25.083332,25.468750,24.640600,179700
2001-04-02,25.197918,25.218750,23.817707,23.833332,23.058357,612600
2001-04-03,23.468750,23.614582,22.416668,22.531250,21.798615,41700
2001-04-04,22.614582,23.135418,22.265625,22.531250,21.798615,171300
2001-04-05,23.333332,24.364582,23.166668,24.328125,23.537060,33600
2001-04-06,23.635418,25.015625,23.635418,24.067707,23.285107,117600
2001-04-09,24.350000,24.833332,24.350000,24.750000,23.945221,10500
2001-04-10,25.116667,26.200001,25.116667,26.066668,25.219069,108300
2001-04-11,26.766666,26.766666,25.583332,25.733334,24.896574,120600
2001-04-12,25.816668,27.100000,25.816668,27.083332,26.202682,105000
2001-04-16,27.400000,27.516666,26.666668,26.666668,25.799557,26100
2001-04-17,26.183332,27.466667,26.183332,27.366667,26.476803,25500
2001-04-18,28.433332,29.616667,28.106667,29.500000,28.540766,108900
