Date,Open,High,Low,Close,Adj Close,Volume
1998/1/21,78.09375,78.375,77.28125,77.84375,45.606712,1839600
1998/1/22,77.1875,77.859375,76.9375,77.1875,45.222221,1662600
1998/1/23,77.5,77.75,76.3125,77,45.112389,1693700
1998/1/26,77.375,77.671875,76.9375,77.3125,45.295448,1172800
1998/1/27,77.125,78.5625,77.078125,78.21875,45.826408,1454500
1998/1/28,78.375,79.234375,78.21875,79.125,46.357384,1181200
1998/1/29,79.0625,80.25,78.890625,79.40625,46.522102,1468500
1998/1/30,79.9375,79.9375,78.96875,79.234375,46.42141,1095600
1998/2/2,80.625,81.3125,80.40625,81.015625,47.465023,955600
1998/2/3,81,81.671875,80.65625,81.65625,47.840328,619400
1998/2/4,81.21875,81.65625,80.8125,81.21875,47.584049,753200
1998/2/5,81.8125,81.90625,80.734375,81.234375,47.593147,1067600
1998/2/6,81.5,82.171875,81.359375,82.109375,48.105793,1069700
1998/2/9,82.09375,82.25,81.4375,81.78125,47.913582,515900
1998/2/10,82.03125,83.34375,81.921875,83.15625,48.719173,892100
1998/2/11,82.96875,83.390625,82.84375,83.15625,48.719173,515000
1998/2/12,82.734375,84.109375,82.375,83.6875,49.030388,1065000
1998/2/13,83.34375,83.84375,83.171875,83.640625,49.002934,596700
1998/2/17,84.3125,84.71875,83.890625,84.0625,49.250118,840600
1998/2/18,84.078125,84.703125,83.84375,84.625,49.579689,773000
1998/2/19,84.640625,84.703125,83.828125,83.828125,49.112823,804800
1998/2/20,84.078125,84.46875,83.3125,84.28125,49.378277,540600
1998/2/23,85,85,83.96875,84.25,49.360008,639200
1998/2/24,84.125,84.40625,83.53125,84,49.213524,702700
1998/2/25,84.25,85.15625,84.078125,84.6875,49.616302,687400
1998/2/26,84.609375,85.21875,84.40625,85.15625,49.890896,439800
1998/2/27,85.109375,85.953125,84.890625,85.59375,50.147255,451300
1998/3/2,85.75,85.859375,85.28125,85.71875,50.220493,1062800
1998/3/3,85.21875,86.125,85.1875,86.109375,50.449352,596600
1998/3/4,85.625,85.875,85.109375,85.53125,50.110573,691700
1998/3/5,84.5,85.265625,84.21875,84.78125,49.671215,778300
1998/3/6,85.09375,86.03125,85.09375,86.03125,50.40353,933100
1998/3/9,85.625,86.578125,85.59375,85.875,50.311985,685300
1998/3/10,86.375,86.75,86.15625,86.71875,50.806305,563700
1998/3/11,86.9375,87.234375,86.734375,87,50.971107,406600
1998/3/12,86.9375,87.0625,86.3125,86.890625,50.907009,576700
1998/3/13,87.1875,87.25,86.09375,86.15625,50.47681,458900
1998/3/16,86.5625,87.46875,86.34375,87.46875,51.245766,733000
1998/3/17,87.28125,87.78125,87.078125,87.765625,51.419662,499900
1998/3/18,87.59375,88.015625,87.28125,87.984375,51.54784,410900
1998/3/19,88,88.296875,87.84375,88.234375,51.694328,730000
1998/3/20,88.5625,89.40625,88.28125,89.15625,52.23444,754300
1998/3/23,89.1875,89.1875,88.390625,88.484375,51.840797,551600
1998/3/24,88.96875,89.859375,88.921875,89.4375,52.399189,470300
1998/3/25,90.0625,90.0625,88.25,88.875,52.069656,966200
1998/3/26,88.84375,89.296875,88.515625,88.625,51.923183,412800
1998/3/27,89.34375,89.40625,87.875,88.265625,51.712627,584100
1998/3/30,88.28125,88.5625,87.6875,88.15625,51.648586,562400
1998/3/31,88.46875,89.3125,88.0625,88.1875,51.666832,620000
1998/4/1,88.359375,89.203125,87.71875,88.9375,52.106236,373700
1998/4/2,88.90625,90.25,88.828125,90.15625,52.820263,440600
1998/4/3,90.25,90.578125,89.8125,90.09375,52.783607,493300
1998/4/6,90.875,91.25,90.34375,90.375,52.948467,610500
1998/4/7,90.375,90.390625,89.25,89.890625,52.664661,707300
1998/4/8,90.0625,90.0625,88.828125,89.28125,52.307667,949500
1998/4/9,89.65625,90.46875,89.625,90.375,52.948467,451700
1998/4/13,90.734375,90.734375,89.5625,90.34375,52.930122,337900
1998/4/14,90.53125,91.515625,90.53125,91.4375,53.57098,451500
1998/4/15,91.65625,92.015625,91.203125,92.015625,53.909595,261800
1998/4/16,91.703125,91.703125,90.796875,91.0625,53.351254,232800
1998/4/17,90.734375,91.75,90.578125,91.703125,53.927914,382900
1998/4/20,91.59375,91.65625,91,91.296875,53.688976,299400
1998/4/21,91.25,91.921875,90.96875,91.90625,54.047356,372000
1998/4/22,91.859375,92.109375,91.6875,91.84375,54.010597,503400
1998/4/23,91.71875,92.03125,91.109375,91.3125,53.698162,597700
1998/4/24,91.21875,91.5625,90.0625,90.546875,53.247993,820200
1998/4/27,89.4375,89.875,88.390625,89.25,52.485287,1916800
1998/4/28,90.03125,90.125,88.65625,88.984375,52.329037,437200
1998/4/29,89.28125,89.953125,88.921875,89.421875,52.586338,298700
1998/4/30,90.328125,91.3125,90.21875,90.875,53.440941,443100
1998/5/1,91.09375,91.65625,90.8125,91.65625,53.900299,338300
1998/5/4,91.984375,92.578125,91.8125,91.8125,53.992264,542500
1998/5/5,91.5,91.859375,90.96875,91.484375,53.799274,325600
1998/5/6,91.84375,91.859375,90.28125,90.28125,53.091732,665500
1998/5/7,90.625,90.625,89.71875,89.734375,52.770142,593100
1998/5/8,89.75,90.984375,89.6875,90.9375,53.477688,638100
1998/5/11,91.28125,91.84375,90.6875,90.921875,53.468502,703100
1998/5/12,90.90625,91.921875,90.609375,91.921875,54.056545,479000
1998/5/13,91.90625,92.359375,91.625,92.25,54.249523,399400
1998/5/14,91.5625,92.296875,91.34375,91.8125,53.992264,622900
1998/5/15,91.875,91.875,90.796875,90.796875,53.447384,280900
1998/5/18,90.875,91.328125,90,90.53125,53.291008,249200
1998/5/19,91.125,91.3125,90.375,90.5625,53.309349,482100
1998/5/20,91.25,91.875,90.640625,91.78125,54.026802,304400
1998/5/21,91.9375,92.171875,91.109375,91.375,53.787678,530600
1998/5/22,91.59375,91.59375,90.9375,91.234375,53.70488,219000
1998/5/26,91.734375,91.84375,89.65625,89.65625,52.775909,561300
1998/5/27,89,89.859375,87.9375,89.65625,52.775909,1041100
1998/5/28,89.75,90.09375,89.1875,89.984375,52.969109,367700
1998/5/29,90.28125,90.421875,88.84375,88.84375,52.297695,232400
1998/6/1,88.625,89.859375,88.59375,89.40625,52.628822,445800
1998/6/2,89.734375,89.875,88.78125,88.953125,52.362015,391600
1998/6/3,89.375,89.40625,87.8125,87.84375,51.709042,473100
1998/6/4,87.875,88.953125,87.53125,88.890625,52.325314,636200
1998/6/5,89.46875,90.859375,89,90.859375,53.484192,1014000
